province,Name,Architectural_style,Era,Longitude,Latitude,Summary,Image,Contact Info,Opening Hours,Link
北京市,房山云居寺塔及石经,古建筑,隋,115.7634108,39.60181086,房山云居寺塔及石经，位于北京市房山区大石窝镇水头村云居寺内，是由佛塔和石经组成的一组文化遗存，佛塔最早的建于唐景云二年（711年），是北京市最古老的一座唐塔，此外还有四座唐塔和一座辽塔。石经开凿于隋大业年间（605~617年）结束于明代，前后延续1000多年。,"https://bkimg.cdn.bcebos.com/pic/f603918fa0ec08fa513d5037f8a62a6d55fbb2fb6c40?x-bce-process=image/format,f_auto/quality,Q_70/resize,m_lfit,limit_1,w_536",,,https://baike.baidu.com/item/%E6%88%BF%E5%B1%B1%E4%BA%91%E5%B1%85%E5%AF%BA%E5%A1%94%E5%8F%8A%E7%9F%B3%E7%BB%8F/7609212
北京市,周口店遗址,古遗址,旧石器时代,115.9253494,39.68868523,"周口店遗址博物馆坐落在北京城西南房山区周口店龙骨山脚下，是一座古人类遗址博物馆，始建于1953年。1929年，中国古人类学家斐文中先主在龙骨山发掘出第一颗完整的“北京猿人”头盖骨化石，震撼了全世界。世界文化遗产、国家AAAA级景区、全国重点文物保护单位、全国百家爱国主义教育示范基地。距北京市区约48公里。是世界著名的古人类和古脊椎动物考古遗址，是“北京人”的发祥地。
周口店遗址属全国重点文物保护单位，位于北京市西南房山区周口店镇龙骨山北部，是世界上材料最丰富、最系统、最有价值的旧石器时代早期的人类遗址。1921年至1927年，考古学家先后三次在“北京人”洞穴遗址外发现三枚人类牙齿化石，1929年，又发现了北京人头盖骨化石，以及人工制作的工具和用火遗迹，遂成为震惊世界的重大考古发现。1930年在周口店遗址还发现距今约2万年前的山顶洞人化石和文化遗物。但随之而来的连年战乱，遗失了自1927年以来发现的全部北京人和山顶洞人的化石标本，迄今下落不明，这一事件成为20世纪考古史上的世界之谜。新中国成立后，恢复了对周口店遗址的发掘研究，获取了大量的宝贵资料，迄今为止，考古学家们已经发掘出代表40",https://r1.visitbeijing.com.cn/vbj-s/2015/1222/20151222051227309.jpg,010-69301090、010-53230037,周二至周日：9:00-16:30，16:00停止入场周一闭馆（不含国家法定节假日）,https://s.visitbeijing.com.cn/attraction/101537
北京市,万里长城－八达岭,古建筑,明,115.9707643,40.3609786,八达岭长城是北京最著名的长城段落，位于北京市延庆区，距离市中心约80公里。它是第一段对公众开放并且经过修复的长城，也是保存最完好的段落之一。八达岭长城在明代修建，以其宏伟的结构和战略地位而闻名，被联合国教科文组织列为世界文化遗产,https://www.thechinaguide.com/uploads/201707/17/596c4aef15fd1.jpg,,4月到10月：06:30 - 19:00；11月到3月：07:00 - 18:00,https://www.thechinaguide.com/sight/badaling-great-wall
北京市,居庸关云台,古建筑,元,116.0614747,40.28856579,"居庸关关城云台 居庸关以景色秀丽著名，早在八百年前，“叠翠居庸抱云台”就被金代皇帝钦定为“燕京八景”之一。始建于1342年的“云台”，雕工艺术精湛流畅，造型别致，图案精美，是元代石雕艺术的珍品，也是元代建筑艺术的代表作。
如今，掩映在杨柳红枫间的居庸新关，更有“花木长城”的美誉。 居庸关是万里长城的重要关口，有天下第一雄关之称，距北京约50公里，为保卫京师的屏障。与嘉峪关、山海关齐名，但因其地势险要，位列三关之首，为历代兵家必争之地。",https://r1.visitbeijing.com.cn/vbj-s/2012/1208/20121208013248528.jpg,010-69771665,旺季：9：00-17：00淡季：9：00-17：00,https://s.visitbeijing.com.cn/attraction/101252
北京市,十三陵,古墓葬,明,116.1894482,40.29397929,"明十三陵，坐落于天寿山麓，距离北京约五十公里。陵区周围群山环抱，中部为平原，陵前有小河曲折蜿蜒，山明水秀，景色宜人。十三座皇陵均依山而筑，分别建在东、西、北三面的山麓上，形成了体系完整、规模宏大、气势磅礴的陵寝建筑群。明代术士认为，这里是""风水""胜境，绝佳""吉壤""。因此被明朝选为营建皇陵的""万年寿域""。该陵园建于1409年，距今已有300—600多年历史。陵区占地面积达40平方公里，是中国乃至世界现存规模最大、帝后陵寝最多的一处皇陵建筑群。
十三陵是一个天然具有规格的山区，其山属太行余脉，西通居庸，北通黄花镇，南向昌平州，不仅是陵寝之屏障，实乃京师之北屏。太行山起泽州，蜿蜒绵亘北走千百里山脉不断，至居庸关，万峰矗立回翔盘曲而东，拔地而起为天寿山(原名黄土山)。山崇高正大，雄伟宽弘，主势强力。明末清初著名学者顾炎武曾写诗描述这里的优胜形势：“群山自南来，势若蛟龙翔;东趾踞卢龙，西脊驰太行;后尻坐黄花(指黄花镇)，前面临神京;中有万年宅，名曰康家庄;可容百万人，豁然开明堂。”这一优美的自然景观被封建统治者视为风水宝地",https://r1.visitbeijing.com.cn/vbj-s/2015/1123/20151123055734510.jpg,010-60761423，60761164,旺季开放时间：8:00-17:30（4月1日至10月31日）淡季开放时间：8:30-17:00（11月1日至次年3月31日）,https://s.visitbeijing.com.cn/attraction/101416
北京市,卢沟桥,近现代重要史迹及代表性建筑,元,116.2104415,39.84861868,卢沟桥位于北京市西南部，是一座横跨永定河的古老石桥。它建于1189年至1192年间，以桥上的石狮子闻名。1937年，卢沟桥事变在此发生，成为中国抗日战争的开端。,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Lugouqiao2.jpg/250px-Lugouqiao2.jpg,,,https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%B2%9F%E6%A1%A5
北京市,颐和园,古建筑,清,116.2507581,39.98431137,"颐和园是中国现存规模最大、保存最完整的皇家园林，中国四大名园（另三座为承德避暑山庄、苏州拙政园、苏州留园）之一。位于北京市海淀区，距北京城区十五公里，占地约二百九十公顷。利用昆明湖、万寿山为基址，以杭州西湖风景为蓝本，汲取江南园林的某些设计手法和意境而建成的一座大型天然山水园，也是保存得最完整的一座皇家行宫御苑，被誉为皇家园林博物馆。
颐和园（Summer Palace）原是清朝帝王的行宫和花园，前身清漪园，为三山五园（三山是指万寿山、香山和玉泉山。三座山上分别建有三园清漪园、静宜园、静明园，此外还有附近的畅春园和圆明园，统称五园）中最后兴建的一座园林，始建于1750年，1764年建成，面积290公顷,水面约占四分之三。
乾隆继位以前，在北京西郊一带，已建起了四座大型皇家园林，从海淀到香山这四座园林自成体系，相互间缺乏有机的联系，中间的“瓮山泊”成了一片空旷地带。乾隆十五年（1750年），乾隆皇帝为孝敬其母孝圣皇后动用448万两白银在这里改建为清漪园，以此为中心把两边的四个园子连成一体，形成了从现清华园到香山长达二十公里的皇家园林区。
咸丰十年（1860年），清漪园被英法联军焚毁",https://r1.visitbeijing.com.cn/vbj-s/2016/0524/20160524013819820.jpg,010-62881077，62881144,一、公园开放时间旺季（4月1日-10月31日）：6:00开园，19:00停止入园，20:00闭园。淡季（11月1日-3月31日）：6:30开园，18:00停止入园，19:00闭园。二、景点院落开放时间（一）佛香阁、德和园、颐和园博物馆、苏州街旺季（4月1日-10月31日）：8:00开门，17:30停止进入，18:00关门。淡季（11月1日-3月31日）：8:30开门，16:30停止进入，17:00关门。以上景点逢周一关闭（法定节假日除外）。（二）霁清轩、谐趣园、益寿堂、清华轩、玉澜堂、耕织图水操学堂、南湖岛内院落旺季（4月1日-10月31日）：8:00开门，18:00关门。淡季（11月1日-3月31日）：8:30开门，17:00关门。益寿堂、霁清轩、南湖岛内院落、耕织图水操学堂景点逢周一关闭（法定节假日除外）。,https://s.visitbeijing.com.cn/attraction/101407
北京市,真觉寺金刚宝座（五塔寺塔）,古建筑,明,116.3242859,39.94256344,真觉寺金刚宝座塔，俗称五塔寺，位于北京市海淀区，建于明朝永乐年间。塔的建筑风格独特，融合了汉藏风格，因五座小塔排列在大塔之上而得名。,"https://bkimg.cdn.bcebos.com/pic/d043ad4bd11373f082021ddf2a595cfbfbedab64ae6f?x-bce-process=image/format,f_auto/quality,Q_70/resize,m_lfit,limit_1,w_536",,,https://baike.baidu.com/item/%E7%9C%9F%E8%A7%89%E5%AF%BA%E9%87%91%E5%88%9A%E5%AE%9D%E5%BA%A7/7609538
北京市,妙应寺白塔,古建筑,元,116.3570896,39.92266553,妙应寺白塔位于北京市西城区，是元代著名的藏传佛教寺院。白塔建于1271年，高50.9米，是中国现存最早、规模最大的藏式白塔。,"https://bkimg.cdn.bcebos.com/pic/e824b899a9014c086e067c80ae2d15087bf40ad15ec5?x-bce-process=image/format,f_auto/quality,Q_70/resize,m_lfit,limit_1,w_536",,,https://baike.baidu.com/item/%E5%A6%99%E5%BA%94%E5%AF%BA%E7%99%BD%E5%A1%94/3145776
北京市,北海及团城,古建筑,明,116.3856875,39.9319343,北海公园位于北京市中心，是中国保存最完整、历史最悠久的皇家园林之一。团城是北海公园中的一座小岛，岛上有许多珍贵的历史建筑。,"https://bkimg.cdn.bcebos.com/pic/64380cd7912397dda1446845d4d4a5b7d0a20cf42961?x-bce-process=image/format,f_auto/quality,Q_70/resize,m_lfit,limit_1,w_536",,,https://baike.baidu.com/item/%E5%8C%97%E6%B5%B7%E5%8F%8A%E5%9B%A2%E5%9F%8E/2486151
